policy,previous_policy,perturbation_rate,sample,objective,access_cost,hit_ratio,local_hit_ratio,cooperative_hit_ratio,origin_miss_ratio,replication_cost,redundancy_cost,redundancy_ratio,relocation_cost,selected_policy
keep_current,online_dqn,0.1,2,3.6205302101222756,3.5005273039903373,0.9574511116499909,0.12286734366272059,0.8345837679872703,0.04254888721172594,3.1666666666666665,0.0031483095999225038,0.0014782134085327022,0.0,
keep_current,online_dqn,0.1,3,4.166721822013716,4.044009432204551,0.940718688044904,0.1225775892380625,0.8181410988068415,0.05928131011832091,3.2222222222222223,0.003237108075817754,0.0016559299636603895,0.0,
keep_current,online_dqn,0.1,4,2.931677673446279,2.817193205956718,0.9790527568762436,0.11104214277216479,0.8680106141040788,0.020947242584569675,3.1052631578947367,0.0029099557962036743,0.001332730889934992,0.0,
keep_current,online_dqn,0.1,5,2.2604705939715877,2.1452372621677975,0.9999999996568811,0.11382944051078275,0.8861705591460984,0.0,3.263157894736842,0.0027761207727251876,0.0013245468079516591,0.0,
keep_current,online_dqn,0.1,6,3.7544370949257218,3.6341435755999445,0.9538031596069535,0.12142349368271728,0.8323796659242362,0.04619684028956625,3.1666666666666665,0.0031644547773580036,0.0015571868942066296,0.0,
keep_current,online_dqn,0.1,7,3.5589339683931027,3.436294231882399,0.9596187258268603,0.12033030501980749,0.8392884208070528,0.040381274186074734,3.2222222222222223,0.003233071781458879,0.0016333072330429672,0.0,
keep_current,online_dqn,0.1,8,3.9572516920053045,3.8332528544580793,0.9473838567500934,0.1237775021387885,0.8236063546113049,0.052616142900660634,3.1666666666666665,0.0033703057896606286,0.00160463364388279,0.0,
keep_current,online_dqn,0.1,9,4.441830328868748,4.333221682271486,0.9324802728095913,0.11743021518101587,0.8150500576285755,0.06751972686170656,3.176470588235294,0.002504401935141973,0.00134616091447054,0.0,
keep_current,online_dqn,0.1,10,3.041012944752259,2.9245187085806035,0.976512067563211,0.11836075029956798,0.8581513172636429,0.02348793179003729,3.111111111111111,0.0030151118860796285,0.0015432863942879806,0.0,
keep_current,online_dqn,0.1,11,4.360664894591116,4.242254719710353,0.9359730274745208,0.11731051574187244,0.8186625117326484,0.06402697296374861,3.0588235294117645,0.003179650238473768,0.0016563368241077148,0.0,
random,,0.1,0,8.020401203586763,7.574426196321432,0.8334202694499658,0.09895227383822203,0.7344679956117438,0.1665797304465539,5.0,0.019220833736962775,0.009532846481534869,0.0,
random,,0.1,1,7.12040996684444,6.657775985614633,0.8603559466462363,0.12792538246139884,0.7324305641848374,0.1396440535728984,5.0,0.020146332290544813,0.010424406467820111,0.0,
random,,0.1,2,7.4000861068850945,6.841934406797911,0.854987065682912,0.11715596559871402,0.737831100084198,0.14501293317880481,5.0,0.025452872227065777,0.01195078686436823,0.0,
random,,0.1,3,8.030439737855046,7.492195041545833,0.835141780708606,0.12296133304739164,0.7121804476612144,0.16485821745461887,5.0,0.02434692757273403,0.012454575487281136,0.0,
random,,0.1,4,6.614051178535297,6.038302084789598,0.8794876834818799,0.12192556369853647,0.7575621197833434,0.12051231597893332,5.0,0.026430505208094347,0.0121049092131809,0.0,
random,,0.1,5,6.753092602952959,6.194482039928135,0.8752867141493449,0.11974158020395982,0.7555451339453851,0.12471328550753624,5.0,0.02547836461249025,0.012156274630002623,0.0,
random,,0.1,6,8.056860701609565,7.573541898935924,0.8334202694499658,0.09895227383822203,0.7344679956117438,0.1665797304465539,5.0,0.021295489037424523,0.010479232211523186,0.0,
random,,0.1,7,7.723010124508487,7.192248717940627,0.8443123478985702,0.12480253477891286,0.7195098131196573,0.15568765211436483,5.0,0.0239311892537699,0.01208973606081367,0.0,
random,,0.1,8,7.260429560973806,6.714193001834021,0.8597305237910606,0.11564707714650366,0.7440834466445571,0.14026947585969335,5.0,0.024790919952210277,0.01180318543799772,0.0,
random,,0.1,9,8.266778248066482,7.7933744837708785,0.8258377738735255,0.1239627480835599,0.7018750257899656,0.1741622257977724,5.0,0.02074465357197805,0.011150623001433449,0.0,
random,,0.1,10,7.57747554006056,7.10214860021749,0.8475733506751971,0.11441077491165036,0.7331625757635467,0.1524266486780511,5.0,0.020851496657948273,0.010672848076160252,0.0,
random,,0.1,11,8.075300537333929,7.6102818184252685,0.8324184640968109,0.11359775233465959,0.7188207117621513,0.16758153634145856,5.0,0.02027881771714789,0.010563599772031059,0.0,
local_popularity,,0.1,0,16.389418431079978,13.694169956799245,0.6329697047670683,0.45346334524866605,0.17950635951840216,0.3670302951294515,5.0,0.14418047079337398,0.0715083597578553,0.0,
local_popularity,,0.1,1,16.163687083292004,13.576944173399188,0.6365885937805561,0.45378228441319046,0.1828063093673657,0.36341140643857855,5.0,0.13815238388293422,0.07148480345327812,0.0,
local_popularity,,0.1,2,16.579940242301532,13.63149502288857,0.6348842499881155,0.4535070300723116,0.18137721991580394,0.3651157488736014,5.0,0.15824695663405344,0.0743010703781194,0.0,
local_popularity,,0.1,3,15.834949872208808,13.30992807621927,0.6442275109390417,0.4626010133781367,0.1816264975609051,0.35577248722418314,5.0,0.13472343311052992,0.06891724479682855,0.0,
local_popularity,,0.1,4,16.474653892564817,13.558359669649205,0.6370108602568507,0.45385506288393546,0.18315579737291524,0.36298913920396253,5.0,0.15646079016197859,0.07165748991257563,0.0,
local_popularity,,0.1,5,16.336553906742733,13.548970737835283,0.6372282797176587,0.4556075100247797,0.18162076969287896,0.36277171993922247,5.0,0.14931017605041377,0.07123908982105845,0.0,
local_popularity,,0.1,6,16.396163262430203,13.694012724795794,0.6329697047670683,0.45346334524866605,0.17950635951840216,0.3670302951294515,5.0,0.1445639187574671,0.07113801760574569,0.0,
local_popularity,,0.1,7,16.047081248366958,13.441704904280934,0.640390291551335,0.4589905348709888,0.1813997566803462,0.35960970846160006,5.0,0.13918757467144566,0.07031581351342532,0.0,
local_popularity,,0.1,8,16.058094198167773,13.290846305113426,0.6447277853472365,0.4644022003437082,0.18032558500352833,0.3552722143035175,5.0,0.14818043850301918,0.07055007225655688,0.0,
local_popularity,,0.1,9,15.835499883939988,13.41438085219477,0.6411541110342917,0.4591894023777807,0.18196470865651088,0.3588458886370063,5.0,0.1289510573191788,0.06931350387767854,0.0,
local_popularity,,0.1,10,16.64572931870272,13.98688014695032,0.6235685059800744,0.4611903181713488,0.16237818780872557,0.37643149337317383,5.0,0.14215828731957766,0.07276378421261404,0.0,
local_popularity,,0.1,11,15.848388052745653,13.390959466664315,0.6416958675665014,0.4635020675247206,0.17819380004178076,0.35830413287176804,5.0,0.13096825478229657,0.06822371233169479,0.0,
global_popularity,,0.1,0,24.352120098004473,20.471605712651378,0.42730571422725916,0.42730571422725916,0.0,0.5726942856692605,5.0,0.2100285769640608,0.10416666666666669,0.0,
global_popularity,,0.1,1,24.032657566953215,20.3090102004216,0.4320879355072975,0.4320879355072975,0.0,0.5679120647118372,5.0,0.2013137425850898,0.10416666666666659,0.0,
global_popularity,,0.1,2,24.49063739197275,20.397248842132587,0.42949267994198537,0.42949267994198537,0.0,0.5705073189197315,5.0,0.2218549194355645,0.10416666666666659,0.0,
global_popularity,,0.1,3,23.948307190188345,20.182948282893953,0.43579563684761524,0.43579563684761524,0.0,0.5642043613156097,5.0,0.20363105040524393,0.10416666666666662,0.0,
global_popularity,,0.1,4,24.578987451930313,20.385012322301534,0.42985257820079203,0.42985257820079203,0.0,0.5701474212600213,5.0,0.2274430627571544,0.10416666666666663,0.0,
global_popularity,,0.1,5,24.41108452379195,20.381267610104068,0.42996271699666977,0.42996271699666977,0.0,0.5700372826602114,5.0,0.21832316187154888,0.10416666666666657,0.0,
global_popularity,,0.1,6,24.38190795037297,20.471605712651378,0.42730571422725916,0.42730571422725916,0.0,0.5726942856692605,5.0,0.21168345765119956,0.10416666666666666,0.0,
global_popularity,,0.1,7,24.02243858902134,20.21094483720501,0.4349722106837564,0.4349722106837564,0.0,0.5650277893291786,5.0,0.20619409732312946,0.10416666666666656,0.0,
global_popularity,,0.1,8,24.155403038038617,20.117230995027867,0.43772849978672135,0.43772849978672135,0.0,0.5622714998640327,5.0,0.21878733572281955,0.1041666666666666,0.0,
global_popularity,,0.1,9,23.84919231747929,20.260936509489138,0.43350186702959675,0.43350186702959675,0.0,0.5664981326417011,5.0,0.19379198933278619,0.10416666666666655,0.0,
global_popularity,,0.1,10,23.84391803630113,20.08073872796053,0.4388018014530341,0.4388018014530341,0.0,0.5611981979002141,5.0,0.20350996157447765,0.10416666666666662,0.0,
